ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
BOEING CO,12927,2014-03-31,2014,Q1,64777.0,52502.0,14520.0,1.2,3.6
BOEING CO,12927,2014-06-30,2014,Q2,65527.0,53339.0,14061.0,1.2,3.8
BOEING CO,12927,2014-09-30,2014,Q3,65218.0,53204.0,14511.0,1.2,3.7
BOEING CO,12927,2014-12-31,2014,Q4,67767.0,48233.0,8665.0,1.4,5.6
BOEING CO,12927,2015-03-31,2015,Q1,66421.0,55256.0,7906.0,1.2,7.0
BOEING CO,12927,2015-06-30,2015,Q2,66806.0,57136.0,6264.0,1.2,9.1
BOEING CO,12927,2015-09-30,2015,Q3,67576.0,57808.0,6740.0,1.2,8.6
BOEING CO,12927,2015-12-31,2015,Q4,68234.0,50412.0,6335.0,1.4,8.0
BOEING CO,12927,2016-03-31,2016,Q1,65587.0,49517.0,4043.0,1.3,12.2
BOEING CO,12927,2016-06-30,2016,Q2,63507.0,49859.0,585.0,1.3,85.2
BOEING CO,12927,2016-09-30,2016,Q3,62237.0,48489.0,2089.0,1.3,23.2
BOEING CO,12927,2016-12-31,2016,Q4,62488.0,50134.0,817.0,1.2,61.4
BOEING CO,12927,2017-03-31,2017,Q1,62367.0,49781.0,95.0,1.3,524.0
BOEING CO,12927,2017-06-30,2017,Q2,62831.0,52909.0,-2037.0,1.2,-26.0
BOEING CO,12927,2017-09-30,2017,Q3,64142.0,54409.0,1086.0,1.2,50.1
BOEING CO,12927,2017-12-31,2017,Q4,85194.0,74648.0,1656.0,1.1,45.1
BOEING CO,12927,2018-03-31,2018,Q1,86543.0,75532.0,1222.0,1.1,61.8
BOEING CO,12927,2018-06-30,2018,Q2,86401.0,77725.0,-1441.0,1.1,-53.9
BOEING CO,12927,2018-09-30,2018,Q3,87686.0,79417.0,-1289.0,1.1,-61.6
BOEING CO,12927,2018-12-31,2018,Q4,87830.0,81590.0,339.0,1.1,240.7
BOEING CO,12927,2019-03-31,2019,Q1,89509.0,83615.0,125.0,1.1,668.9
BOEING CO,12927,2019-06-30,2019,Q2,95111.0,92189.0,-5322.0,1.0,-17.3
BOEING CO,12927,2019-09-30,2019,Q3,101656.0,91846.0,-4116.0,1.1,-22.3
BOEING CO,12927,2019-12-31,2019,Q4,102229.0,97312.0,-8617.0,1.1,-11.3
BOEING CO,12927,2020-03-31,2020,Q1,111011.0,94502.0,-9665.0,1.2,-9.8
BOEING CO,12927,2020-06-30,2020,Q2,130277.0,92482.0,-11667.0,1.4,-7.9
BOEING CO,12927,2020-09-30,2020,Q3,131012.0,92307.0,-11821.0,1.4,-7.8
BOEING CO,12927,2020-12-31,2020,Q4,121642.0,87280.0,-18316.0,1.4,-4.8
BOEING CO,12927,2021-03-31,2021,Q1,119945.0,89892.0,-18058.0,1.3,-5.0
BOEING CO,12927,2021-06-30,2021,Q2,119095.0,88224.0,-16682.0,1.3,-5.3
BOEING CO,12927,2021-09-30,2021,Q3,116888.0,85771.0,-14440.0,1.4,-5.9
BOEING CO,12927,2021-12-31,2021,Q4,108666.0,81992.0,-14999.0,1.3,-5.5
BOEING CO,12927,2022-03-31,2022,Q1,106012.0,81692.0,-15398.0,1.3,-5.3
BOEING CO,12927,2022-06-30,2022,Q2,106000.0,84799.0,-14888.0,1.3,-5.7
BOEING CO,12927,2022-09-30,2022,Q3,109251.0,89618.0,-17699.0,1.2,-5.1
BOEING CO,12927,2022-12-31,2022,Q4,109523.0,90052.0,-15883.0,1.2,-5.7
BOEING CO,12927,2023-03-31,2023,Q1,108811.0,93510.0,-15508.0,1.2,-6.0
BOEING CO,12927,2023-06-30,2023,Q2,107412.0,92076.0,-15517.0,1.2,-5.9
BOEING CO,12927,2023-09-30,2023,Q3,106935.0,93062.0,-16729.0,1.1,-5.6
BOEING CO,12927,2023-12-31,2023,Q4,109275.0,95827.0,-17233.0,1.1,-5.6
