ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
"AMAZON.COM, INC.",1018724,2014-03-31,2014,Q1,108.0,146.0,,
"AMAZON.COM, INC.",1018724,2014-06-30,2014,Q2,-126.0,-15.0,,
"AMAZON.COM, INC.",1018724,2014-09-30,2014,Q3,-437.0,-544.0,,
"AMAZON.COM, INC.",1018724,2014-12-31,2014,Q4,214.0,591.0,,
"AMAZON.COM, INC.",1018724,2015-03-31,2015,Q1,-57.0,255.0,,
"AMAZON.COM, INC.",1018724,2015-06-30,2015,Q2,92.0,464.0,,
"AMAZON.COM, INC.",1018724,2015-09-30,2015,Q3,79.0,406.0,,
"AMAZON.COM, INC.",1018724,2015-12-31,2015,Q4,482.0,1108.0,,
"AMAZON.COM, INC.",1018724,2016-03-31,2016,Q1,513.0,1071.0,,
"AMAZON.COM, INC.",1018724,2016-06-30,2016,Q2,857.0,1285.0,,
"AMAZON.COM, INC.",1018724,2016-09-30,2016,Q3,252.0,575.0,,
"AMAZON.COM, INC.",1018724,2016-12-31,2016,Q4,749.0,1255.0,,
"AMAZON.COM, INC.",1018724,2017-03-31,2017,Q1,724.0,1005.0,,
"AMAZON.COM, INC.",1018724,2017-06-30,2017,Q2,197.0,628.0,,
"AMAZON.COM, INC.",1018724,2017-09-30,2017,Q3,256.0,347.0,,
"AMAZON.COM, INC.",1018724,2017-12-31,2017,Q4,1856.0,2127.0,,
"AMAZON.COM, INC.",1018724,2018-03-31,2018,Q1,1629.0,1927.0,,
"AMAZON.COM, INC.",1018724,2018-06-30,2018,Q2,2534.0,2983.0,,
"AMAZON.COM, INC.",1018724,2018-09-30,2018,Q3,2883.0,3724.0,,
"AMAZON.COM, INC.",1018724,2018-12-31,2018,Q4,3027.0,3786.0,,
"AMAZON.COM, INC.",1018724,2019-03-31,2019,Q1,3561.0,4420.0,,
"AMAZON.COM, INC.",1018724,2019-06-30,2019,Q2,2625.0,3084.0,,
"AMAZON.COM, INC.",1018724,2019-09-30,2019,Q3,2134.0,3157.0,,
"AMAZON.COM, INC.",1018724,2019-12-31,2019,Q4,3268.0,3879.0,,
"AMAZON.COM, INC.",1018724,2020-03-31,2020,Q1,2535.0,3989.0,,
"AMAZON.COM, INC.",1018724,2020-06-30,2020,Q2,5243.0,5843.0,,
"AMAZON.COM, INC.",1018724,2020-09-30,2020,Q3,6331.0,6194.0,,
"AMAZON.COM, INC.",1018724,2020-12-31,2020,Q4,7222.0,6873.0,,
"AMAZON.COM, INC.",1018724,2021-03-31,2021,Q1,8107.0,8865.0,,
"AMAZON.COM, INC.",1018724,2021-06-30,2021,Q2,7778.0,7702.0,,
"AMAZON.COM, INC.",1018724,2021-09-30,2021,Q3,3156.0,4852.0,,
"AMAZON.COM, INC.",1018724,2022-03-31,2022,Q1,-3844.0,3669.0,,
"AMAZON.COM, INC.",1018724,2022-06-30,2022,Q2,-2028.0,3317.0,,
"AMAZON.COM, INC.",1018724,2022-09-30,2022,Q3,2872.0,2525.0,,
"AMAZON.COM, INC.",1018724,2023-03-31,2023,Q1,3172.0,4774.0,,
"AMAZON.COM, INC.",1018724,2023-06-30,2023,Q2,6750.0,7681.0,,
"AMAZON.COM, INC.",1018724,2023-09-30,2023,Q3,9879.0,11188.0,,
