ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
"Salesforce, Inc.",1108524,2014-01-31,2013,Q4,2680.252,3980.188,0.67
"Salesforce, Inc.",1108524,2014-04-30,2014,Q1,2039.381,3359.954,0.61
"Salesforce, Inc.",1108524,2014-07-31,2014,Q2,2304.687,3502.738,0.66
"Salesforce, Inc.",1108524,2014-10-31,2014,Q3,2439.155,3308.352,0.74
"Salesforce, Inc.",1108524,2015-01-31,2014,Q4,3514.544,4390.103,0.8
"Salesforce, Inc.",1108524,2015-04-30,2015,Q1,2604.825,3960.876,0.66
"Salesforce, Inc.",1108524,2015-07-31,2015,Q2,2916.787,4112.994,0.71
"Salesforce, Inc.",1108524,2015-10-31,2015,Q3,2938.773,3976.978,0.74
"Salesforce, Inc.",1108524,2016-01-31,2015,Q4,5731.323,5617.005,1.02
"Salesforce, Inc.",1108524,2016-04-30,2016,Q1,3774.672,5085.103,0.74
"Salesforce, Inc.",1108524,2016-07-31,2016,Q2,3277.999,5376.096,0.61
"Salesforce, Inc.",1108524,2016-10-31,2016,Q3,3001.554,4975.534,0.6
"Salesforce, Inc.",1108524,2017-01-31,2016,Q4,5996.827,7295.466,0.82
"Salesforce, Inc.",1108524,2017-04-30,2017,Q1,5404.491,7625.863,0.71
"Salesforce, Inc.",1108524,2017-07-31,2017,Q2,5811.341,7526.185,0.77
"Salesforce, Inc.",1108524,2017-10-31,2017,Q3,5946.17,7216.444,0.82
"Salesforce, Inc.",1108524,2018-01-31,2017,Q4,9584.0,10067.0,0.95
"Salesforce, Inc.",1108524,2018-04-30,2018,Q1,10151.0,7895.0,1.29
"Salesforce, Inc.",1108524,2018-07-31,2018,Q2,6802.0,8469.0,0.8
"Salesforce, Inc.",1108524,2018-10-31,2018,Q3,6870.0,8022.0,0.86
"Salesforce, Inc.",1108524,2019-01-31,2018,Q4,10683.0,11255.0,0.95
"Salesforce, Inc.",1108524,2019-04-30,2019,Q1,10035.0,10488.0,0.96
"Salesforce, Inc.",1108524,2019-07-31,2019,Q2,9903.0,10195.0,0.97
"Salesforce, Inc.",1108524,2019-10-31,2019,Q3,11026.0,10474.0,1.05
"Salesforce, Inc.",1108524,2020-01-31,2019,Q4,15963.0,14845.0,1.08
"Salesforce, Inc.",1108524,2020-04-30,2020,Q1,14713.0,12843.0,1.15
"Salesforce, Inc.",1108524,2020-07-31,2020,Q2,14846.0,12963.0,1.15
"Salesforce, Inc.",1108524,2020-10-31,2020,Q3,14946.0,12234.0,1.22
"Salesforce, Inc.",1108524,2021-01-31,2020,Q4,21889.0,17728.0,1.23
"Salesforce, Inc.",1108524,2021-04-30,2021,Q1,20444.0,15323.0,1.33
"Salesforce, Inc.",1108524,2021-07-31,2021,Q2,16256.0,17393.0,0.93
"Salesforce, Inc.",1108524,2021-10-31,2021,Q3,15957.0,15035.0,1.06
"Salesforce, Inc.",1108524,2022-01-31,2021,Q4,22850.0,21788.0,1.05
"Salesforce, Inc.",1108524,2022-04-30,2022,Q1,20411.0,19899.0,1.03
"Salesforce, Inc.",1108524,2022-07-31,2022,Q2,21246.0,20080.0,1.06
"Salesforce, Inc.",1108524,2022-10-31,2022,Q3,19209.0,18227.0,1.05
"Salesforce, Inc.",1108524,2023-01-31,2022,Q4,26395.0,25891.0,1.02
"Salesforce, Inc.",1108524,2023-04-30,2023,Q1,21981.0,21626.0,1.02
"Salesforce, Inc.",1108524,2023-07-31,2023,Q2,21138.0,20805.0,1.02
"Salesforce, Inc.",1108524,2023-10-31,2023,Q3,20202.0,19394.0,1.04
"Salesforce, Inc.",1108524,2024-01-31,2023,Q4,29074.0,26631.0,1.09
